estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2,
"=A257+IF(H258=H257,I258-I257,I258)/86400000","=IF(H258=H257,I258-I257,I258)",,,current,256,True,578202819,93150172,True,True,True,True,True,1011,0.0,0.0,31.43,57.61,31.0,12.8,0,0,
"=A258+IF(H259=H258,I259-I258,I259)/86400000","=IF(H259=H258,I259-I258,I259)",,,current,257,True,578202819,93451139,True,True,True,True,True,1011,0.0,0.0,31.49,57.73,31.0,12.9,0,0,
"=A259+IF(H260=H259,I260-I259,I260)/86400000","=IF(H260=H259,I260-I259,I260)",,,current,258,True,578202819,93752107,True,True,True,True,True,1011,0.0,0.0,31.45,57.8,31.0,12.9,0,0,
"=A260+IF(H261=H260,I261-I260,I261)/86400000","=IF(H261=H260,I261-I260,I261)",,,current,259,True,578202819,94053077,True,True,True,True,True,1011,0.0,0.0,31.42,57.87,31.0,12.9,0,0,
"=A261+IF(H262=H261,I262-I261,I262)/86400000","=IF(H262=H261,I262-I261,I262)",,,current,260,True,578202819,94354047,True,True,True,True,True,1011,0.0,0.0,31.39,57.96,31.0,12.9,0,0,
"=A262+IF(H263=H262,I263-I262,I263)/86400000","=IF(H263=H262,I263-I262,I263)",,,current,261,True,578202819,94655020,True,True,True,True,True,1011,0.0,0.0,31.38,58.05,31.0,12.9,0,0,
"=A263+IF(H264=H263,I264-I263,I264)/86400000","=IF(H264=H263,I264-I263,I264)",,,current,262,True,578202819,94956027,True,True,True,True,True,1011,0.0,0.0,31.37,58.13,30.9,12.9,0,0,
"=A264+IF(H265=H264,I265-I264,I265)/86400000","=IF(H265=H264,I265-I264,I265)",,,current,263,True,578202819,95256976,True,True,True,True,True,1011,0.0,0.0,31.35,58.22,30.9,12.9,0,0,
"=A265+IF(H266=H265,I266-I265,I266)/86400000","=IF(H266=H265,I266-I265,I266)",,,current,264,True,578202819,95557928,True,True,True,True,True,1011,0.0,0.0,31.31,58.21,30.9,12.9,0,0,
"=A266+IF(H267=H266,I267-I266,I267)/86400000","=IF(H267=H266,I267-I266,I267)",,,current,265,True,578202819,95858879,True,True,True,True,True,1011,0.0,0.0,31.28,58.41,30.9,12.9,0,0,
