estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A66+IF(H67=H66,I67-I66,I67)/86400000","=IF(H67=H66,I67-I66,I67)",,,current,65,True,3906736965,19684073,True,True,True,True,True,1009,0.0,0.0,30.45,59.45,30.7,13.8,0,0,
"=A67+IF(H68=H67,I68-I67,I68)/86400000","=IF(H68=H67,I68-I67,I68)",,,current,66,True,3906736965,19985054,True,True,True,True,True,1010,0.048,1.286,30.49,59.53,30.6,13.9,0,0,
"=A68+IF(H69=H68,I69-I68,I69)/86400000","=IF(H69=H68,I69-I68,I69)",,,current,67,True,3906736965,20286040,True,True,True,True,True,1010,0.0,0.0,30.62,59.72,30.6,13.9,0,0,
"=A69+IF(H70=H69,I70-I69,I70)/86400000","=IF(H70=H69,I70-I69,I70)",,,current,68,True,3906736965,20587027,True,True,True,True,True,1010,0.0,0.0,30.98,59.91,30.5,13.9,0,0,
"=A70+IF(H71=H70,I71-I70,I71)/86400000","=IF(H71=H70,I71-I70,I71)",,,current,69,True,3906736965,20888017,True,True,True,True,True,1010,0.0,0.0,31.12,60.1,30.5,13.9,0,0,
"=A71+IF(H72=H71,I72-I71,I72)/86400000","=IF(H72=H71,I72-I71,I72)",,,current,70,True,3906736965,21189038,True,True,True,True,True,1010,0.0,0.0,31.43,60.36,30.4,13.9,0,0,
"=A72+IF(H73=H72,I73-I72,I73)/86400000","=IF(H73=H72,I73-I72,I73)",,,current,71,True,3906736965,21490005,True,True,True,True,True,1010,0.0,0.0,31.46,60.48,30.4,13.9,0,0,
"=A73+IF(H74=H73,I74-I73,I74)/86400000","=IF(H74=H73,I74-I73,I74)",,,current,72,True,3906736965,21790976,True,True,True,True,True,1010,0.026,0.692,31.33,60.55,30.4,13.9,0,0,
"=A74+IF(H75=H74,I75-I74,I75)/86400000","=IF(H75=H74,I75-I74,I75)",,,current,73,True,3906736965,22091947,True,True,True,True,True,1010,0.0,0.0,31.18,60.57,30.4,13.9,0,0,
"=A75+IF(H76=H75,I76-I75,I76)/86400000","=IF(H76=H75,I76-I75,I76)",,,current,74,True,3906736965,22409610,True,True,True,True,True,1010,0.004,0.099,31.2,60.61,30.4,13.9,0,0,
