source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
current,78,True,578202819,23503931,True,True,True,True,True,1013,0.0,0.0,30.26,72.08,29.8,13.6,4,17
current,79,True,578202819,23804903,True,True,True,True,True,1013,0.0,0.0,30.33,72.11,29.8,13.6,4,17
current,80,True,578202819,24105880,True,True,True,True,True,1013,0.0,0.0,30.37,72.11,29.8,13.6,4,17
current,81,True,578202819,24406861,True,True,True,True,True,1013,0.0,0.0,30.45,72.23,29.8,13.5,4,19
current,82,True,578202819,24707824,True,True,True,True,True,1013,0.0,0.0,30.55,72.28,29.7,13.5,4,20
current,83,True,578202819,25008789,True,True,True,True,True,1013,0.0,0.0,30.62,72.31,29.7,13.6,5,24
current,84,True,578202819,25309757,True,True,True,True,True,1013,0.0,0.0,30.76,72.32,29.7,13.6,6,26
current,85,True,578202819,25610728,True,True,True,True,True,1013,0.0,0.0,30.9,72.49,29.7,13.5,6,25
current,86,True,578202819,25911735,True,True,True,True,True,1013,0.0,0.0,30.94,72.42,29.7,13.6,7,28
current,87,True,578202819,26212681,True,True,True,True,True,1013,0.0,0.0,31.07,72.55,29.7,13.6,7,30
current,88,True,578202819,26513628,True,True,True,True,True,1013,0.0,0.0,31.19,72.58,29.7,13.5,8,32
current,89,True,578202819,26814577,True,True,True,True,True,1013,0.0,0.0,31.3,72.64,29.7,13.5,9,36
current,90,True,578202819,27115527,True,True,True,True,True,1013,0.0,0.0,31.38,72.67,29.7,13.5,10,41
current,91,True,578202819,27416481,True,True,True,True,True,1013,0.011,0.297,31.6,72.77,29.7,13.5,13,52
current,92,True,578202819,27717436,True,True,True,True,True,1013,0.0,0.0,31.76,72.83,29.7,13.5,14,54
current,93,True,578202819,28018396,True,True,True,True,True,1013,0.0,0.0,31.91,72.89,29.7,13.6,16,66
current,94,True,578202819,28319356,True,True,True,True,True,1013,0.106,2.868,32.12,72.86,29.8,13.6,17,71
current,95,True,578202819,28620319,True,True,True,True,True,1013,0.0,0.0,32.26,72.98,29.8,13.5,18,76
current,96,True,578202819,28921284,True,True,True,True,True,1014,0.0,0.0,32.56,73.01,29.8,13.5,30,121
current,97,True,578202819,29222249,True,True,True,True,True,1014,0.0,0.0,33.07,73.14,29.8,13.6,35,148
current,98,True,578202819,29523217,True,True,True,True,True,1013,0.0,0.0,33.49,73.2,29.9,13.6,56,305
